what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585147974
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585149277
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585163196
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530585179572
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585179833
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530585191091
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585191407
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585191470
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530585192106
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585192861
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585192912
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530585236814
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585237070
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530585237954
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585242654
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585250522
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585257664
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585260929
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585315684
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585321883
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585326725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585329490
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585580724
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530585580734
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585583744
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585585556
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585590145
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585590938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585593720
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585616968
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530585618627
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1530585619180
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1530585619255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585624484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585628198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585630036
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585630617
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585632730
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585638733
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530585641963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585643175
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585645628
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530585649546
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1530585654434
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1530585655400
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1530585662734
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530585662796
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1530585665179
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.run",1530585669266
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530585669919
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585669997
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585670092
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1530585670104
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530585670826
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1530585672601
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530585690658
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530585694753
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1530585696008
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1530585696109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530585699623
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1530585724375
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1530585731752
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.run",1530585733674
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530585734130
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1530585734222
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530585735021
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1530585736678
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585739018
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585746554
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530585746557
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585753915
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585754588
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585758649
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585797874
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585799873
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585801821
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585802286
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530585806653
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585827506
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585857997
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585860043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585898512
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585899734
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530585949520
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586113630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586113745
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586125315
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586339035
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586346208
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586380996
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586483339
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586735416
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586739250
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586742289
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586753110
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586755761
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586757027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586810780
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586827652
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586935537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586939947
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530586992619
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530586994220
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530586994408
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587001533
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587001557
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530587001683
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530587001742
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530587004221
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.navigate.backwardHistory",1530587004222
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587014740
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587015364
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587016004
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587020193
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587021059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587131388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587194811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587195532
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587195893
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587377064
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587382665
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587399300
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587405955
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587508051
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587512180
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587516216
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587517581
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587527618
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530587529576
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1530587529935
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1530587545782
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1530587546617
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1530587548965
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.run",1530587551332
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530587551792
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1530587551873
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530587552574
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1530587554324
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587555716
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587556861
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530587556871
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587560460
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587594000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587600628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587602385
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530587606623
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530587608841
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587615150
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530587645811
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1530587647966
