what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1530580346308
closed,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1530580346320
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530580346335
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530580373709
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530580374900
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1530580375827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1530580377400
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1530580378163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530580382427
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530580390373
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1530580391256
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530580460155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530580464636
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530580493738
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530580495014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530580495987
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530580569308
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1530580569333
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530580594548
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1530580597353
